participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.is_dictator,player.dictator_payoff,player.partner_id_in_group,player.task1_points,player.allocation_points,player.market_points,player.belief_points,player.total_combined_payoff,player.payment_sgd,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
15,ch700ni6,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:07.757463,1,,,1166.67,15,,0.0,0,0.0,4,150.0,156.5,914.0,0.0,1220.5,23.0,1,1,nadt5tbu,,,,,0
16,5doee2qb,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:07.895834,1,,,1000.0,16,,100.0,1,100.0,12,115.0,195.0,610.0,0.0,1020.0,20.0,1,1,nadt5tbu,,,,,0
17,fjk39fjv,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:08.036259,1,,,944.44,17,,60.0,1,60.0,10,110.0,185.0,640.0,0.0,995.0,19.0,1,1,nadt5tbu,,,,,0
18,uv9wmkop,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:08.071998,1,,,1055.56,18,,50.0,1,50.0,8,150.0,166.5,735.0,0.0,1101.5,21.0,1,1,nadt5tbu,,,,,0
19,tdb9pvu4,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:08.116238,1,,,1333.33,19,,30.0,0,30.0,13,300.0,187.5,840.0,0.0,1357.5,26.0,1,1,nadt5tbu,,,,,0
20,vlzegfsh,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:08.476802,1,,,1055.56,20,,0.0,0,0.0,6,200.0,187.5,675.0,0.0,1062.5,21.0,1,1,nadt5tbu,,,,,0
21,vijmhlvg,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:39.856834,1,,,722.22,21,,0.0,0,0.0,23,300.0,150.0,298.0,0.0,748.0,15.0,1,1,nadt5tbu,,,,,0
22,8e240a8t,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:40.077595,1,,,1555.56,22,,100.0,1,100.0,1,150.0,160.0,1192.0,0.0,1602.0,30.0,1,1,nadt5tbu,,,,,0
23,djq10sre,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:41.471659,1,,,1444.44,23,,100.0,1,100.0,21,130.0,172.0,920.0,135.0,1457.0,28.0,1,1,nadt5tbu,,,,,0
24,1rm0kasi,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:41.530653,1,,,833.33,24,,0.0,0,0.0,14,150.0,181.5,518.0,0.0,849.5,17.0,1,1,nadt5tbu,,,,,0
25,5ddpdjuo,,0,587,587,FinalPage,ThankYou,2026-09-14 02:15:41.539007,1,,,833.33,25,,0.0,0,0.0,5,120.0,162.5,572.0,0.0,854.5,17.0,1,1,nadt5tbu,,,,,0
