"","gender","experience","invest.other"
"243","M","no",40
"244","M","no",60
"245","W","exp",50
"246","W","no",50
"247","W","no",100
"248","W","exp",100
"249","W","no",80
"250","M","exp",8
"251","W","exp",50
"252","W","exp",50
"253","M","no",50
"254","W","exp",100
"255","W","exp",100
"256","M","exp",75
"257","M","no",20
"258","W","no",50
"259","W","no",40
"260","M","exp",50
"261","M","exp",75
"262","M","exp",70
"263","M","exp",50
"264","M","exp",100
"265","M","exp",30
"266","M","no",100
"267","M","no",100
"268","M","exp",70
"269","M","no",55
"270","W","exp",50
"271","M","no",0
"272","M","no",50
"273","M","no",30
"274","M","no",60
"275","W","exp",100
"276","M","no",0
"277","M","no",50
"278","W","exp",50
"279","M","no",50
"280","W","exp",50
"281","W","no",70
"282","W","no",25
"283","W","exp",50
"284","W","no",50
"285","W","no",30
"286","W","exp",50
"287","W","no",25
"288","W","exp",65
"289","M","no",40
"290","W","exp",100
"291","W","exp",50
"292","M","no",60
"293","M","no",100
"294","M","exp",50
"295","M","no",40
"296","M","exp",50
"297","M","no",40
"298","M","no",50
"299","W","no",50
"300","W","no",80
"301","W","exp",60
"302","W","exp",10
"303","W","exp",30
"304","W","exp",80
"305","W","exp",75
"306","W","no",70
"307","M","exp",40
"308","M","no",50
"309","W","no",20
"310","M","exp",100
"311","W","exp",75
"312","M","no",20
"313","M","exp",50
"314","M","no",50
"315","M","exp",75
"316","W","exp",30
"317","W","no",30
"318","M","exp",50
"319","M","exp",80
"320","M","exp",50
"321","M","exp",50
"322","M","exp",75
"323","M","no",20
"324","M","exp",50
"325","W","exp",50
"326","W","no",20
"327","W","exp",50
"328","W","exp",50
"329","W","no",10
"330","W","no",50
"331","M","no",50
"332","M","exp",30
"333","W","no",25
"334","W","exp",50
"335","W","exp",50
"336","M","no",75
"337","M","exp",60
"338","M","exp",15
"339","M","no",50
"340","W","no",50
"341","W","no",50
"342","W","no",50
"343","W","no",30
"344","W","exp",30
"345","W","exp",60
"346","W","exp",25
"347","W","no",50
"348","M","exp",100
"349","W","exp",50
"350","M","exp",50
"351","M","exp",55
"352","M","exp",100
"353","M","exp",100
"354","M","no",100
"355","W","no",30
"356","M","no",20
"357","M","exp",50
"358","M","exp",50
"359","M","exp",100
"360","M","no",30
"361","M","no",80
"362","M","no",80
"363","M","no",50
"364","W","exp",50
